filter by country,total number of test takers,Nationalities,number of  tests,Participating institutions,,filter by type of exam,total number of test takers,Nationalities,number of  tests,Participating institutions,,filter by year,total number of test takers,Nationalities,number of  tests,Participating institutions,,filter by nationality ,total number of test takers,Nationalities,number of  tests,Participating institutions
المملكة العربية السعودية,3687,(+60),41,,,همزة الأكاديمي,5222,(+102),93,75,,2024,2152,,,,,أثيوبيا,22,,,
أثيوبيا,22, -, -, -,,همزة تحديد المستوى,1461,(+102),93,75,,2025,3098,,,,,أذربيجان,118,,,
أذربيجان,118, -, -, -,,,,,,,,2026,1184,,,,,إريتريا,2,,,
إريتريا,2, -, -, -,,,,,,,,,,,,,,إسبانيا,10,,,
إسبانيا,10, -, -, -,,,,,,,,,,,,,,أستراليا,14,,,
أستراليا,14, -, -, -,,,,,,,,,,,,,,إسواتيني,1,,,
إسواتيني,1, -, -, -,,,,,,,,,,,,,,أفغانستان,82,,,
أفغانستان,82, -, -, -,,,,,,,,,,,,,,الأرجنتين,1,,,
الأرجنتين,1, -, -, -,,,,,,,,,,,,,,الإكوادور,1,,,
الإكوادور,1, -, -, -,,,,,,,,,,,,,,ألبانيا,31,,,
ألبانيا,31, -, -, -,,,,,,,,,,,,,,البرازيل,8,,,
البرازيل,8, -, -, -,,,,,,,,,,,,,,البرتغال,1,,,
البرتغال,1, -, -, -,,,,,,,,,,,,,,البوسنة والهرسك,52,,,
البوسنة والهرسك,52, -, -, -,,,,,,,,,,,,,,الجبل الأسود,1,,,
الجبل الأسود,1, -, -, -,,,,,,,,,,,,,,الدنمارك,1,,,
الدنمارك,1, -, -, -,,,,,,,,,,,,,,السنغال,19,,,
السنغال,19, -, -, -,,,,,,,,,,,,,,السويد,2,,,
السويد,2, -, -, -,,,,,,,,,,,,,,الصين,128,,,
الصين,128, -, -, -,,,,,,,,,,,,,,الفلبين,190,,,
الفلبين,190, -, -, -,,,,,,,,,,,,,,الكاميرون,24,,,
الكاميرون,24, -, -, -,,,,,,,,,,,,,,ألمانيا,10,,,
ألمانيا,10, -, -, -,,,,,,,,,,,,,,المكسيك,10,,,
المكسيك,10, -, -, -,,,,,,,,,,,,,,المملكة المتحدة,32,,,
المملكة المتحدة,32, -, -, -,,,,,,,,,,,,,,النمسا,2,,,
النمسا,2, -, -, -,,,,,,,,,,,,,,النيبال,75,,,
النيبال,75, -, -, -,,,,,,,,,,,,,,النيجر,30,,,
النيجر,30, -, -, -,,,,,,,,,,,,,,الهند,807,,,
الهند,807, -, -, -,,,,,,,,,,,,,,الولايات المتحدة الأمريكية,29,,,
الولايات المتحدة الأمريكية,29, -, -, -,,,,,,,,,,,,,,اليابان,9,,,
اليابان,9, -, -, -,,,,,,,,,,,,,,اليونان,2,,,
اليونان,2, -, -, -,,,,,,,,,,,,,,أندورا,1,,,
أندورا,1, -, -, -,,,,,,,,,,,,,,إندونيسيا,1782,,,
إندونيسيا,1782, -, -, -,,,,,,,,,,,,,,أنغولا,15,,,
